Deck	Side 1 Name	Side 1 Description	Side 1 Keywords	Side 1 HP	Side 1 Nemesis Icon	Side 1 Setup	Side 1 Game Text	Side 1 Advanced	Side 2 Name	Side 2 Description	Side 2 Keywords	Side 2 HP	Side 2 Nemesis Icon	Side 2 Game Text	Side 2 Advanced	Set	Difficulty
Akash'Bhuta	Akash'Bhuta	Chaos-Bound Creator	Villain	200	The Argent Adept	Discover (H) minus 1 Primeval Limb cards.	When the Environment trash is shuffled into the Environment deck, Akash'Bhuta regains (H) HP. Then: [flip] After any non-Hero target is played, discard the top card of the Environment deck. END PHASE Discover 1 Primeval Limb card.	END PHASE Discard the top card of the Environment deck. Play the top card of the Environment deck.	Akash'Bhuta	Avatar of Destruction	Villain	200	The Argent Adept	When the Environment trash is shuffled into the Environment deck, Akash'Bhuta regains (H) HP. Then: [flip] After any non-Hero target is destroyed, discard the top card of the Environment deck. END PHASE Akash'Bhuta deals each non-Villain target 2 fire damage.	After any Primeval Limb card is destroyed, Akash'Bhuta deals the Hero target with the highest HP X melee damage, where X is the destroyed card's maximum HP divided by 2.	Core Game	4
Ambuscade	Ambuscade	Hunter of the Mighty	Villain	70	Haka	Discover (H) minus 2 Device cards.	After a Villain One-Shot card is played, [flip]. START PHASE Ambuscade deals the Hero target with the highest HP (H) minus 2 projectile damage. END PHASE Ambuscade deals the Hero target with the highest HP (H) minus 2 projectile damage.	END PHASE Play the top card of the Villain deck.	Ambuscade	Invisible Stalker	Villain	70	Haka	Ambuscade is immune to damage. After a Villain One-Shot card is played or discarded, [flip]. On each Hero's START PHASE, that Hero may discard 1 card to reveal the top card of the Villain deck. If it is a One-Shot card, play it. Otherwise, bury it. END PHASE Ambuscade deals the Hero target with the lowest HP (H) melee damage. Then, if there are fewer than (H) Villain Device cards in play, discover 1 Device card.	+1 damage dealt by Villain Device cards.	Rook City Renegades	5
Apex	Apex	King by Right of Claw	Villain, Werewolf	50	Alpha	Discover (H) minus 2 Werewolf cards.	-1 damage dealt to Apex by targets with fewer HP than this card. +1 damage dealt by Apex. START PHASE If Apex is not the Werewolf card with the highest HP, [flip]. Otherwise, Apex regains X HP, where X is the number of Werewolf cards in play. END PHASE Apex deals the Hero target with the highest HP (H) minus 2 melee damage. Apex deals each Werewolf card other than himself 1 melee damage.	Whenever a Villain target would deal damage to another Villain target, redirect that damage to the Hero target with the highest HP.	Apex	Once and Future King	Villain, Werewolf	50	Alpha	-1 damage dealt to Apex by targets with fewer HP than this card. +1 damage dealt by the Werewolf card with the highest HP. START PHASE If Apex is the Werewolf card with the highest HP, [flip]. END PHASE Discover 1 Werewolf card. Apex deals each target other than himself 2 melee damage. Apex regains X HP, where X is the number of targets dealt damage this way.	After a Villain target deals damage, it regains 2 HP.	Rook City Renegades	7
Apostate	Apostate	Sowing Seeds of Untruth	Villain	66	Fanatic	Discover 1 Relic card, 1 Demon card, and 1 Lie card, playing that Lie card in the play area of the Hero character with the lowest HP.	Whenever a Lie card is played, play it in the play area of the Hero character with the fewest Lie cards and the lowest HP. -2 damage dealt to Apostate by Hero targets in play areas with Lie cards. If there are ever (H) or more cards under this card, summon Condemnation, then (flip). END PHASE Apostate deals the Hero character with the lowest HP 1 sonic damage and 1 psychic damage. Discover (H) minus 2 Lie cards. If no cards are played this way, Apostate deals each non-Villain target 3 psychic damage.	END PHASE Discover (H) minus 2 target cards.	Apostate	Culmination of Deception	Villain	66	Fanatic	Whenever a Lie card is played, play it in the play area of the Hero character with the lowest HP. After a card is put under this card, Apostate deals himself 6 fixed psychic damage. After a Villain Relic card is played, activate the **End Phase** effect on that card, then destroy that card. After a Villain Demon card is destroyed, Apostate regains (H) HP. START PHASE Play the top card of the Villain deck. END PHASE Apostate deals the (H) minus 1 Heo targets with the highest HP X infernal damage each, where X is the number of cards under this card.	Whenever Apostate would be dealt damage, redirect that damage to the Villain target with the lowest HP.	Disparation	3
Baron Blade	Baron Blade	Impulsion Beam Inventor	Villain	40	Legacy	Summon Mobile Defense Platform.	When Baron Blade would be destroyed, instead: [flip] START PHASE If there are 15 or more cards in the Villain trash, Baron Blade's TerraLunar Impulsion Beam activates, pulling the moon into the Earth. Game Over.	END PHASE Discard the top (H) minus 2 cards of the Villain deck.	Baron Blade	Armored Mad Scientist	Villain	30	Legacy	When flipped to this side, destroy all Villain Ongoing cards and set Baron Blade's HP to 30. END PHASE Baron Blade deals the Hero target with the highest HP (H) melee damage. Baron Blade deals each Hero target 1 energy damage.	-2 damage dealt to Baron Blade.	Core Game	1
Citizen Dawn	Citizen Dawn	First Among Citizens of the Sun	Villain, Citizen	80	Expatriette	Discover (H) minus 1 Citizen cards.	START PHASE If there are at least (H) Citizen cards in the Villain trash: [flip] Citizen Dawn only flips once this way per game. END PHASE Citizen Dawn deals the Hero target with the highest HP (H) minus 2 energy damage.	+1 damage dealt by Citizen cards.	Citizen Dawn	Apotheosis of the Sun's Power	Villain, Citizen	80	Expatriette	Citizen Dawn is immune to damage. START PHASE If there are at least (H) Citizen cards in play: [flip] END PHASE Discover 1 Citizen card.	END PHASE Citizen Dawn deals each target 1 energy damage.	Core Game	5
GloomWeaver	GloomWeaver	Madness Awakening	Villain	100	NightMist	Discover 1 Relic card. Discover (H) minus 2 Cultists cards.	Whenever a Chosen card is destroyed, put it under this card. If there are ever (H) or more cards under this card, you win! START PHASE If there are 3 or more Relic cards in the Villain play area, [flip]. If not, reveal the top card of the Villain deck. If it is a Chosen or Relic card, play it. Otherwise, discard it. END PHASE GloomWeaver deals each non-Villain target 1 psychic damage.	END PHASE Bury the Villain trash. Discover 1 target card.	GloomWeaver	Demon-God Incarnate	Villain	100	NightMist	When flipped to this side, destroy all cards under this card. GloomWeaver regains (H) HP for each card destroyed this way. START PHASE Destroy each Cultists card. For each card destroyed this way, GloomWeaver regains (H) HP. END PHASE GloomWeaver deals the 2 Hero targets with the highest HP (H) irreducible infernal damage each.	END PHASE Play the top card of the Villain deck.	Rook City Renegades	8
Grand Warlord Voss	Grand Warlord Voss	Conquering Alien Warlord	Villain, Thorathian	90	Tempest	Discover (H) Gene-Bound cards.	-2 damage to Grand Warlord Voss for each Gene-Bound card in play. START PHASE If there are no Gene-Bound cards in play: [flip] START PHASE If there are 10 or more Villain targets in play, the planet has been overrun by the Thorathian Army. Grand Warlord Voss has conquered the Earth. Game Over.	+1 damage dealt by Villain targets.	Grand Warlord Voss	Super-Thorathian Warrior	Villain, Thorathian	90	Tempest	When this card flips to this side, discover 1 Device card. START PHASE If there are 2 or more Gene-Bound cards in play: [flip] START PHASE Reveal the top card of the Villain deck. If it is a Gene-Bound card, play it. Otherwise, return it to the top of the deck. END PHASE Grand Warlord Voss deals the Hero target with the highest HP (H) minus 1 energy damage. Grand Warlord Voss deals the Hero target with the lowest HP (H) minus 2 fire damage.	END PHASE Destroy (H) minus 2 Hero Ongoing and/or Item cards.	Core Game	8
Grimm	Grimm	Humble Narrator	Villain	120	[Grimm]	Discover 1 Role card, playing it in the play area of the Hero character with the lowest HP. Add 1 token to that Role card.	Whenever a Role card is played, play it in the play area of the Hero character with the highest HP that has no Role cards. If each active Hero play area already has a Role card, play it in the Villain play area. After a PART is activated on a Role card, add 1 token to that Role card. After a Hero is incapacitated, bury any Role cards in their play area. START PHASE If there are 7 or more tokens on 1 Role card in the Villain play area, Grimm controls the story, and the Heroes have failed. **Game Over.** Otherwise, bury each Role card in the Villain play area other than the Role card with the most tokens on it. END PHASE If each active Hero play area has a Role card with at least 1 token on it, (flip). Otherwise, discover (H) minus 2 Role cards, then discover 1 target card from the Environment deck.	END PHASE Grimm regains X HP, where X is the number of Role cards in play. Then, if Grimm is at his maximum HP, play the top card of the Villain deck.	Grimm	Diabolical Director	Villain	120	[Grimm]	Whenever a PART on a Role card in a Hero play area would be activated, that Hero may activate the RESIST on that card instead. After a PART is activated on a Role card, add 1 token to that Role card. After a RESIST is activated on a Role card, remove 1 token from 1 Role card in a Hero play area. After a Hero is incapacitated, bury any Role cards in their play area. START PHASE If there are 3 or more tokens on a Role card in a Hero play area, the Heroes have forgotten their true selves and now only live to play their roles. **Game Over.** Otherwise, discover 1 One-Shot card. END PHASE Bury each Role card in the Villain play area, other than the Role card with the most tokens on it. Then, if any active Hero play area does not have a Role card with at least 1 token on it, (flip).	After a RESIST is activated on a Role card, Grimm deals 1 Hero character in the play area with that Role card 4 infernal damage.	Disparation	3
Iron Legacy	Iron Legacy	Ironclad Tyrant	Villain	32	[Iron Legacy]	Discover (H) minus 1 Ongoing cards.	Villain Ongoing cards gain the keyword "Indestructible". After Iron Legacy is dealt damage, if at least 5 damage has been dealt to Iron Legacy this turn, bury the first Villain Ongoing card in play and (flip). END PHASE Iron Legacy deals each Hero character 3 melee damage. If there are (H) or more Villain Ongoing cards in play, bury the first Villain Ongoing card in play and Iron Legacy deals the Hero target with the highest HP (H) melee damage.	After the first time Iron Legacy is dealt damage each turn, reveal the top card of the Villain deck. If it is an Ongoing card, play it. Otherwise, discard it and Iron Legacy regains 2 HP.	Iron Legacy	Desperate Measures	Villain	32	[Iron Legacy]	-1 damage dealt to Iron Legacy. START PHASE If Iron Legacy has 20 or more HP, (flip). Otherwise, play the top card of the Villain deck. END PHASE Discover 1 Ongoing card. Iron Legacy regains (H) HP. Iron Legacy deals the Hero character with the lowest HP (H) projectile damage.	END PHASE Iron Legacy deals the Hero target with the highest HP 2 melee damage. If no damage was dealt this way, destroy (H) Hero Ongoing and/or Item cards.	Disparation	8
Kismet	Kismet	Charmed Scoundrel	Villain	77	Setback	Summon The Adhin Talisman.	After an Unlucky card is destroyed, the non-Villain target with the highest HP deals itself 2 fixed psychic damage. START PHASE If there are (H) or more Unlucky cards in play, [flip]. Otherwise, discover (H) minus 2 Unlucky cards. END PHASE Reveal the top card of the Villain deck. If it is a Lucky card, play it. If not, bury it. Then, Kismet deals each target in the play area with the most Unlucky cards 2 energy damage.	After a Lucky card is played, Kismet deals the Hero target with the highest HP 2 energy damage.	Kismet	Deranged Miscreant	Villain	77	Setback	If there are ever no Unlucky cards in play, discover (H) minus 2 Unlucky cards, then [flip]. After an Unlucky card is played, Kismet deals the Hero target with the highest HP 2 psychic damage. END PHASE Kismet deals each target in the play area with the most Unlucky cards X irreducible psychic damage, where X is the number of Unlucky cards in that play area plus 2. Then, destroy all Unlucky cards in that play area.	END PHASE Discover 1 Lucky card..	Rook City Renegades	4
La Capitan	La Capitan	Temporal Pirate	Villain	70	[La Capitan]	Summon La Paradoja Magnifica. Discover (H) minus 2 Crew cards.	During the Villain turn, after a non-Villain card not under a card is destroyed, put it under this card. START PHASE If there are 5 or more cards under this card, (flip). Otherwise, put the top card of the deck in the Hero play area with the most cards in play under this card. END PHASE La Capitan deals the Hero target with the highest HP (H) minus 1 projectile damage.	END PHASE Reveal the top card of each Hero deck. Discard all One-Shot cards revealed this way. Put the other revealed cards under this card.	La Capitan	At One with the Timestream	Villain	70	[La Capitan]	Whenever La Capitan would be dealt damage, destroy 1 card under this card. If a card was destroyed this way, prevent that damage. START PHASE Destroy 1 Environment card. Destroy 1 card under this card. Play the top card of the Environment deck. Then, if there are no cards under this card, shuffle the Villain trash into the Villain deck, discover (H) minus 2 Crew cards, then (flip). END PHASE La Capitan deals the (H) non-Villain targets with the highest HP 3 energy damage each.	END PHASE La Capitan deal the (H) minus 2 Hero targets with the highest HP X projectile damage each, where X is the number of cards under this card.	Disparation	5
Miss Information	Aminia Twain	Administrative Assistant	Supporter	12	Parse	Discover (H) minus 2 Distraction cards.	This card counts as a Hero target and is not a Villain target. It is immune to damage dealt by Hero targets. If Aminia Twain would be reduced to 0 HP or destroyed, each Hero character deals themselves 10 fixed psychic damage, discover (H) Clue cards, and (flip). After a Distraction card is destroyed, discover 1 Clue card. If there are ever at least (H) Clue cards in play, shuffle the Villain trash into the Villain deck and (flip). END PHASE Discover 1 Distraction card. 1 Hero draws 1 card.	+1 damage dealt by Distraction cards.	Miss Information	Revealed Saboteur	Villain	50	Parse	When flipped to this side, set Miss Information's HP to 50 and discover (H) minus 2 Distraction cards. -X damage dealt to Miss Information, where X is the number of Distraction cards in play. START PHASE Miss Information regains 1 HP for each Clue card in play, then destroys 1 Clue card. If no cards are destroyed this way, 1 Hero discards 1 card. END PHASE Miss Information deals the (H) minus 2 Hero targets with the highest HP 2 psychic damage each. Discover 1 Distraction card. Then, if there are no Distractions in play, shuffle the Villain trash into the Villain deck.	END PHASE Discard the top card of each Hero deck. If any Ongoing or Item cards are discarded this way, Miss Information regains (H) times 2 HP. If she regains no HP this way, play the top card of the Villain deck.	Disparation	5
Necrosis	Necrosis	The Rot Within All Things	Villain	80	[Necrosis]	Discover (H) minus 2 Ongoing cards.	After a Hero character is dealt damage by a Villain target, add 1 token to that Hero character card. START PHASE If there are at least (H) plus 5 tokens on Hero character cards, discover (H) minus 2 Husk cards, then (flip). END PHASE Discover (H) minus 2 Husk cards. Add (H) minus 2 tokens to the Hero Character card with the highest HP. Then, Necrosis deals that Hero character X energy damage, where Xis the number of tokens on that Hero character card.	END PHASE Add (H) minus 1 tokens to the Hero character card with the fewest tokens.	Necrosis	Coalesced Blight	Villain	80	[Necrosis]	After a Husk card is destroyed, either destroy 1 Villain Ongoing card or remove all tokens from 1 Hero character card. START PHASE If each Hero character card has 1 or fewer tokens on it, (flip). END PHASE Necrosis deals each Hero character X toxic damage, where X is the number of tokens on that character card plus 1. Remove 1 token from each Hero character card. Then, bury the Villain trash and discover 1 Husk card and 1 Ongoing card.	After any number of tokens are removed from a Hero character card, Necrosis regains X HP and deals that Hero character X toxic damage, where X is the number of tokens removed.	Disparation	4
Omnitron	Omnitron	Self-Aware Robotics Factory	Villain, Device, Indestructible	100	Omnitron-X	Discover 1 Device card. Discover 1 Ongoing card.	The Heroes cannot win until Omnitron is at 0 HP and is the only Device card in play. START PHASE Discover 1 Device card. PLAY PHASE [flip]. Omnitron flips only once each Villain turn. END PHASE Activate the FABRICATE on each Villain card (including any cards that are played this phase).	END PHASE Shuffle the Villain trash into the Villain deck. Discover (H) minus 1 Device cards.	Omnitron	Rampaging Robot	Villain, Device, Indestructible	100	Omnitron-X	The Heroes cannot win until Omnitron is at 0 HP and is the only Device card in play. START PHASE Discover 1 Ongoing card. PLAY PHASE [flip]. Omnitron flips only once each Villain turn. END PHASE Activate the EXTERMINATE on each Villain card (including any cards that are played this phase).	+1 damage dealt by Device cards.	Core Game	6
Plague Rat	Plague Rat	Urban Legend	Villain, Rat	90	Chrono-Ranger	Summon the Plague Locus.	Plague Rat is immune to toxic damage. END PHASE If there are 3 or more Villain Ongoing cards in play, [flip]. Otherwise, Plague Rat deals the Hero target with the highest HP (H) melee damage. Then, play the top card of the Villain deck.	Damage dealt by Plague Rat is irreducible.	Plague Rat	Patient Zero	Villain, Rat	90	Chrono-Ranger	Plague Rat is immune to toxic damage. +2 damage dealt by Plague Rat. START PHASE Each INFECTED Hero character may deal themself 4 fixed toxic damage. Whenever a Hero character card is dealt damage this way, destroy 1 Villain Ongoing card. PLAY PHASE If there are no Villain Ongoing cards in play, shuffle the Villain trash into the Villain deck and [flip]. END PHASE Plague Rat deals the (H) non-Villain targets with the highest HP 1 irreducible toxic damage each.	After a Villain Ongoing card is destroyed, Plague Rat deals the Hero target with the highest HP 1 toxic damage.	Rook City Renegades	6
Spite	Spite	Shadowy Slasher	Villain	65	The Wraith	Discover (H) minus 2 Bystander cards. Discover 1 Ongoing card.	-2 damage dealt to Spite. After a Bystander card is destroyed, add 1 token to this card. START PHASE Add 1 token to this card. Then, if there are 3 or more tokens on this card, [flip]. END PHASE Spite deals the target other than himself with the lowest HP (H) melee damage. Then, if there are 2 or fewer Bystander cards in play, add 1 token to this card and discover 1 Bystander card.	END PHASE Spite deals the Hero target with the highest HP (H) melee damage..	Spite	Augmented Junkie	Villain	65	The Wraith	+1 damage dealt by Spite. After the last token is removed from this card, destroy all Villain Ongoing cards and [flip]. START PHASE Play the top card of the Villain deck. END PHASE Spite deals the Hero target with the highest HP (H) melee damage. Spite deals each target other than himself 1 infernal damage. Remove 1 token from this card.	After a token is removed from this card, Spite deals each target other than himself 1 psychic damage.	Rook City Renegades	6
Terrorform	Terrorform	Mecha-Titan of Industry	Villain, Device	200	[Terrorform]	Discover 1 Access card and 1 Device card.	-1 damage dealt to Terrorform. When an Access card is destroyed, put it under this card. If there are ever 3 cards under this card, [flip]. END PHASE Play the top card of the Environment deck. Terrorform deals the 2 non-Villain targets with the highest HP (H) melee damage each. Discover 1 Access card.	END PHASE Terrorform deals each non-Villain target 1 energy damage.	Terrorform	The Heart of the Machine	Villain, Device	100	[Terrorform]	When flipped to this side, destroy all cards under this card and all Access cards, then set Terrorform's HP to half of its current amount (rounded up). Whenever an Access card would be played, discard it instead and Terrorform deals the (H) minus 1 Hero targets with the highest HP 2 energy damage each. END PHASE Terrorform deals the Hero target with the highest HP (H) lightning damage. Then, play the top card of the Villain deck.	+1 damage dealt by Minion cards.	Rook City Renegades	7
The Dreamer	The Dreamer	The Dreamer Dreams	Villain	6	-	Discover (H) minus 2 Nightmare cards.	If The Dreamer would be reduced to 0 HP, the Heroes lose. **Game Over** Whenever The Dreamer would be dealt damage, you may redirect that damage to a Hero target. After a Nightmare card is destroyed, put it under this card. If there are ever (H) times 2 or more cards under this card, destroy (H) Hero Ongoing cards, shuffle all cards under this card into the Villain deck, then (flip). END PHASE Discover (H) minus 2 Nightmare cards.	After a Nightmare card is played, The Dreamer deals the Hero target with the highest HP 2 irreducible psychic damage.	The Dreamer	Rousing from Slumber	Villain	6	-	If The Dreamer would be reduced to 0 HP or destroyed, the Heroes lose. **Game Over.** Whenever The Dreamer would be dealt damage, you may redirect that damage to a Hero target. After a Nightmare card is destroyed, put it under this card, then play the top card of the Villain deck. If there are ever (H) times 2 or more cards under this card, you have soothed The Dreamer's sleeping mind and saved the day! **You win!** END PHASE The Dreamer deals each target other than herself 1 psychic damage. Discover 1 Nightmare card.	+1 damage dealt by Nightmare cards.	Disparation	4
The Ennead	The Ennead	The Temple of the Ennead	-	-	-	Put The Ennead character cards under this card. Discover (H) Relic cards. Summon the characters named in the first lines of those Relic cards from under this card.	If there are ever no Villain targets in play, the Heroes have defeated The Ennead. **You win!** Whenever a Villain character is destroyed, flip it to the Incapacitated side, leaving it in the Villain play area. END PHASE If there are no cards under this card, (flip). Otherwise, play the top card of the Villain deck.	After a Villain Relic card is destroyed, play the top card of the Villain deck.	The Ennead	Eternal Fury	-	-	-	If there are ever no Villain targets in play, the Heroes have defeated The Ennead. **You win!** Whenever a Villain character is destroyed, flipt it to the Incapacitated side, leaving it in the Villain play area. END PHASE Activate all :ennead_sun: ***Sun***, :ennead_hand: ***Hand***, and :ennead_ankh: ***Ankh*** effects.	END PHASE The Villain character with the highest HP deals the (H) minus 2 non-Villain targets with the highest HP 2 infernal damage each.	Disparation	7
The Fey-Court	The Dagda	Lord of Bounty	Villain	55	The Harpy	Put The Morrigan's Villain Character Card in the Villain play area "Queen of the Hearth" side up. Put 4 tokens on it. The Morrigan acts after The Dagda during the Villain turn. Discover 1 Advisor card. Discover (H) minus 1 Courtier cards.	After this card is dealt damage by a Hero target, [flip]. If there are ever (H) plus 6 or more tokens on this card, you have gained the favor of the Fey-Court, and they send you on your way with a Fey blessing. You win! END PHASE Discover 1 Bond card. Then, 1 Hero target in the play area with that Bond card regains 2 HP.	END PHASE Each Villain target regains (H) HP.	The Dagda	Lord of Ruin	Villain	55	The Harpy	START PHASE Each Hero may discard up to 2 cards. If at least (H) cards are discarded this way, [flip]. END PHASE The Dagda deals the Hero target with the highest HP X cold damage, where X is the number of tokens on this card.	+1 damage dealt by Villain targets.	Rook City Renegades	4
The Fey-Court	The Morrigan	Queen of the Hearth	Villain	65	The Harpy		After this card is dealt damage by a Hero target, bury the Advisor card with the lowest HP, summon The Court's Displeasure, then [flip]. END PHASE The Hero with the fewest cards in hand draws 1 card. Then, reveal the top card of the Villain deck. If it is a target, play it. Otherwise, discard it.	END PHASE Remove 1 token from this card.	The Morrigan	Queen of War	Villain	65	The Harpy	If there are ever zero tokens on this card, you have angered the Fey-Court while under their sway. You may never see the mortal realm again. Game over. START PHASE Each Hero target may deal itself 2 infernal damage. If at least (H) damage is dealt this way, [flip]. END PHASE The Morrigan deals each Hero target 1 melee damage and 1 infernal damage.	+1 damage dealt by The Morrigan.	Rook City Renegades	-
The Matriarch	The Matriarch	Her Avian Majesty	Villain	70	Tachyon	Summon Mask of the Matriarch.	START PHASE If Mask of the Matriarch is not in play: [flip] END PHASE The Matriarch deals each Hero target 1 projectile damage.	+2 damage dealt by Cohort cards.	The Matriarch	Ruler of the Flock	Villain	70	Tachyon	END PHASE The Matriarch deals the (H) minus 2 Hero targets with the highest HP 3 psychic damage each. Then, if Mask of the Matriarch is in play: [flip]	Cohort cards are indestructible.	Core Game	7
The Organization	The Chairman	Shadowy Mastermind	Villain	40	Mr. Fixer	Put The Operative's Villain Character Card in the Villain play area "Pike's Right Hand" side up. Shuffle and set The Operative's side deck in the Villain play area. The Operative acts after The Chairman during the Villain turn. Discover (H) minus 2 Underboss cards. Discover (H) minus 1 Thug cards.	The Chairman is immune to damage. After an Underboss card is destroyed, put it under this card. START PHASE If there are at least (H) cards under this card, play them all and [flip]. END PHASE Activate the COMMANDS on The Operative's character card.	END PHASE Play the top card of the Villain deck..	The Chairman	Handling It Himself	Villain	40	Mr. Fixer	After an Underboss card is destroyed, put it under this card. START PHASE The Chairman deals the Hero target with the highest HP X melee damage, where X is the number of cards under this card. END PHASE The Chairman deals the Hero target with the highest HP (H) minus 1 melee damage. Activate all COMMANDS in play.	-2 damage dealt to The Chairman if there are any Underboss cards in play.	Rook City Renegades	7
The Organization	The Operative	Pike's Right Hand	Villain	45	Mr. Fixer		When The Operative would be destroyed, instead: [flip]. COMMANDS Play the top card of The Operative's side deck. START PHASE If there are no Technique cards in play, discover 1 Technique card from The Operative's side deck. END PHASE The Operative deals the Hero target with the highest HP 2 melee damage. Then, discover 1 Underboss card from The Chairman's deck and activate the COMMANDS on that card.	-2 damage dealt to The Chairman.	The Operative	Claimed by the Dragon	Incapacitated	-	-	When flipped to this side, remove all cards from The Operative's side deck from the game. +1 damage dealt by The Chairman. When The Chairman is destroyed, you win!	END PHASE Activate the COMMANDS on the Underboss card with the highest HP.	Rook City Renegades	-
The Ruler of Æternus	The Ruler of Æternus	The Empty Throne	Villain	-	-	Discover (H) minus 1 Prince cards.	If there are ever no Villain targets in play, you have defeated the forces of Æternus! **You win!** If there is ever only 1 Villain Prince card in play, shuffle the Villain trash into the Villain deck, then (flip). END PHASE Each Prince card deals the target other than itself with the highest HP 2 infernal damage.	END PHASE Reveal the top card of the Villain deck. If it is a target, play it. Otherwise, discard it and each non-Villain target deals itself 1 fixed psychic damage.	The Ruler of Æternus	The "Chosen" of Æternus	Villain	-1	Darkstrife, Painstake	When flipped to this side, put the Villain Prince card with the highest HP in the **Throne Space**, restore it to its maximum HP, then discover (H) minus 1 Demon cards. The target in the **Throne Space** is The Ruler of Æternus, counts as a character card, and gains the nemesis icons on this card. Its effects occur after the effects on this card. When it is destroyed, put it in the trash. If there is ever no target in the **Throne Space**, (flip). -1 damage dealt to The Ruler of Æternus. Its Æ effect is active. END PHASE The Ruler of Æternus deals each target other than itself 2 infernal damage.	-3 damage dealt by Villain targets to The Ruler of Æternus.	Disparation	8