Deck	Title	Game Text	Flavor Text	Qty	Set
Principles	Principle of the Blank Slate	END PHASE: Bury your hand. Draw 4 cards.	You not only don't remember who you were or where you came from, you seem unable to keep a fix in your mind on who you are now.	1	Disparation
Principles	Principle of Compassion	When your Hero character would deal damage to a target other than themself, you may have that target regain 2 HP instead. After your Hero character deals damage to a taret other than themself, they deal themself 1 fixed psychic damage.	You care greatly for those around you, feeling their suffering as suffering of your own. You do what you can to alleviate those pains for others.	1	Disparation
Principles	Principle of Crime	Environment cards cannot be played from your hand.  START PHASE: Draw the top card of the Environment deck. If that card is a target, bury it, then your Hero character deals themself 1 fixed sonic damage.  END PHASE: Either draw 1 card, or discard 2 cards and discover 1 card that shares a keyword with both discarded cards.	Some call you a hero, but you're actually a criminal, possibly misunderstood or using heroism to cover up your dasterdly deeds. You might be doing it for a good reason! Maybe not.	1	Disparation
Principles	Principle of the Defender	REACTION: Prevent the damage that would be dealt.  END PHASE: Select 1 ally. Until your START PHASE, redirect any damage that would be dealt to that ally to this Hero character.	Defending others is your calling. You put yourself in harm's way to defend others without a second thought, making yourself more of a target to defend those in need.	1	Disparation
Principles	Principle of Equality	START PHASE: Your Hero character deals themself 2 fixed psychic damage. The 2 Hero characters with the lowest HP regain 1 HP each.  END PHASE: You may destroy 1 of your Item or Ongoing cards. If you do, the ally Hero with the fewest cards in hand may draw 1 card and the ally Hero with the fewest cards in play may play 1 card.	You have a keen sense of social status and can spot any situation where people are treated unfairly.	1	Disparation
Principles	Principle of Fire	Change all types of damage in game text on your other cards to fire damage.  END PHASE: Either your Hero character deals themself 2 fixed psychic damage, or discard 1, 2, or 3 cards. Your Hero character deals 1 target X fire damage, where X is the number of cards discarded this way times 2.	You are attuned to flames -- they are a part of you, and their warmth is the only thing that makes you feel alive.	1	Disparation
Principles	Principle of Flora and Fauna	Whenever an Environment target would deal damage, you may discard 1 card. If you do, redirect that damage.  END PHASE: Reveal the top card of the Environment deck. If it is not a target, your Hero character deals themself 2 fixed toxic damage, and either replace or discard the revealed card. Otherwise, play it and draw 1 card.	You are at one with nature, considering the natural world and its inhabitants the best part of this world.	1	Disparation
Principles	Principle of the Gearhead	Your Ongoing cards gain the keyword "Item". Your non-character target cards gain the keyword "Device".  END PHASE: Either discard 2 cards or destroy 1 of your Item or non-Character Device cards. Play or discover 1 Item or Device card.	Technology is your thing. You like making stuff, experimenting with devices, tinkering with gadgets -- one way or another, you're into tech.	1	Disparation
Principles	Principle of Guidance	END PHASE: If you have 2 or more cards in hand, you and one other Hero each discard 1 or more cards. Reveal the top X cards of that Hero's deck, where X is the number of cards discarded this way, Discard all but 1 of the revealed cards. Play the remaining card.	It is important to you to share your knowledge and experience with less-weathered heroes. Everyone grants you some measure of respect for your wisdom.	1	Disparation
Principles	Principle of Honor	During your turn, Hero characters cannot deal damage to non-Hero targets. REACTION: Either play 1 card or use 1 power.	You live your life by a strict code of conduct. You will not compromise your honor, even in the face of great adversity.	1	Disparation
Principles	Principle of Inner Demons	END PHASE: Reveal the top card of your deck. If it is a One-Shot card, your Hero character deals themself 2 fixed infernal damage; otherwise destroy 1 of your non-character cards. Either way, play the revealed card.	You have a darkness in you that you strive to keep suppressed. You can reach out to your dark side to connect with similar forces.	1	Disparation
Principles	Principle of the Invulnerable	-X damage dealt to your Hero character card, where X is the number of tokens on this card. After your Hero character is dealt non-fixed damage, add 1 token to this card.  START PHASE: Remove all tokens from this card. If 2 or more tokens were removed this way, skip either your Play or Power phase this turn.	You cannot be harmed by conventional means, but your protection from the dangers of the world can slow you down or make you unable to act in a crucial moment.	1	Disparation
Principles	Principle of Levity	After you play a card with a power on it from your hand, you may discard 1 card. If you do, use 1 power. When you would play a card without a power on it from your hand, discard the top card of your deck. If those cards share a keyword, each Hero character regains 1 HP, then bury the first card and play the discarded card instead.	You always have a positive outlook, and it's important to you to keep everyone's spirits high. You're always quick with a smile and a joke -- no one has ever seen you frown.	1	Disparation
Principles	Principle of the Loner	Whenever you would cause an ally Hero to use powers or interact with cards not in play (including reveal, draw, play, discard, discover, summon, etc.), you do so instead. Whenever an ally Hero would cause your Hero to use powers or interact with cards not in play (including reveal, draw, play, discard, discover, summon, etc.), they do so instead.	You know you're at your best on your own. Your path is a solitary one, though you don't find it lonely -- you prefer being alone, anyway.	1	Disparation
Principles	Principle of Longevity	Whenever you would play a card other than during your START PHASE, put that card under this card instead.  START PHASE: Your Hero character regains 3 HP. Play all the cards under this card in any order. Cards played this phase skip all START PHASE effects this turn.	You have survived so much, and you know that you will survive so much more still. Given your experiences, you know you must act with careful consideration.	1	Disparation
Principles	Principle of Magic	Whenever you use a power, add 1 token to this card and either increase or decrease one numeral in that power's text by 1. You may skip your POWER PHASE. If you do, remove all tokens from this card.  END PHASE: Your Hero character deals themself X fixed infernal damage, where X is the number of tokens on this card.	You are attuned to an otherworldly force, allowing you to feel and draw on magical energy, though the results of such magic can be overwhelming.	1	Disparation
Principles	Principle of Prophecy	You may look at the top card of your deck, the Villain deck, and the Environment deck at any time.  START PHASE: Reveal the top card of 1 Hero deck. Reveal the top card of either the Villain deck or the Environment deck. If the revealed cards share a keyword, play both cards in any order. Otherwise, bury both revealed cards and your Hero character deals themself 2 fixed psychic damage.	You have visions or knowledge of things yet to come. Your awareness of the future is both a blessing and a curse, but what will you choose to do with such knowledge?	1	Disparation
Principles	Principle of Rage	After your Hero character is dealt damage, add 1 token to this card. If there are 3 or more tokens on this card, +1 damage dealt by your Hero character.  END PHASE: If there are 6 or more tokens on this card, remove 6 of them and your Hero character deals each target 1 fire damage.	You have a deep and abiding fury burning within you. If you're not careful, it'll get out, and the world will burn.	1	Disparation
Principles	Principle of Self-Preservation	+1 damage dealt to your Hero character by non-Hero targets. REACTION: If 3 damage or less would be dealt, redirect it. REACTION: Redirect the damage to 1 Hero target.	You're always looking out for numero uno. You can't help anyone else if you get knocked out, right? You wouldn't say you're a coward, but deep down, you're afraid you might be.	1	Disparation
Principles	Principle of the Shadow	+1 damage dealt to your Hero character by non-Hero targets. REACTION: Either prevent the damage that would be dealt, or your Hero character deals the attacker 2 toxic damage.  START PHASE: Reveal and replace the top card of the Environment deck.	You're sneaky. You can get in and out of the most secure locations without being noticed. But you also know better than to draw attention to yourself.	1	Disparation
Principles	Principle of the Sidekick	SETUP: Reduce your Hero character's maximum HP by 8. Select 1 ally character. That character is your Mentor. Your Hero character is their Sidekick and gains your Mentor's nemesis icon. REACTION: Redirect the damage to your Mentor. Your Mentor gains: REACTION: Your Sidekick uses a power.	You're a helper to another hero, always there to lend a hand, but never the one who gets the credit or attention for all your hard work. But that's OK! You're there to learn and help -- maybe someday, you'll be a real hero yourself!	1	Disparation
Principles	Principle of Speed	START PHASE: You may play 1 non-One-Shot card.  END PHASE: Your Hero character deals themself 1 fixed fire damage. Draw 1 card. Destroy all but 2 of your non-character cards in your play area.	You're fast, and you don't like to waste time. You like to be on your way as quickly as possible, and act with extreme efficiency at all times, but moving so fast has a cost!	1	Disparation
Principles	Principle of Strength	When your Hero character would deal non-fixed damage to a non-Hero target, you may remove 2 tokens from this card. If you do, +3 to that damage and change the damage type to melee. If not, prevent that damage and add 1 token to this card.  START PHASE: If there are fewer than 2 tokens on this card, add 1 token to this card.	You are quite physically strong, able to lift incredibly heavy objects and hit like a ton of bricks! You hit less often than others, but always to great effect!	1	Disparation
Principles	Principle of the Tactician	START PHASE: If there are no tokens on this card, you must skip either your PLAY PHASE or POWER PHASE this turn.  END PHASE: If there are no tokens on this card, add 1 token to this card. Otherwise, you may remove 1 token from this card. If you do, play 1 card or use 1 power.	You are constantly assessing the situation, making plans and backup plans, and then reassessing the situation. It's challenging to keep track of everything going on, but you're just the hero to do so.	1	Disparation
Principles	Principle of Time Travel	START PHASE: If there are 5 or fewer cards in your trash, discard the top 3 cards of your deck and your Hero character deals themself 1 fixed psychic damage.  END PHASE: If there are 6 or more cards in your trash, you play play the top card of your trash. After you play a card this way, bury your trash.	You're not from here or now. You're out of your element, but fortunately, you're at least a little used to finding yourself in a different place and time.	1	Disparation
Principles	Principle of Toxicity	Replace all instances of "fixed" in your cards' game text with "irreducible". Whenever your Hero character deals damage, you may change the damage type to toxic. After your Hero character is dealt toxic damage, draw 1 card.  END PHASE: Your Hero character deals 2 Hero targets and up to 2 non-Hero targets 1 toxic damage each.	What is toxic to others is normal to you. You are from an environment that is hazardous to other life. However, you cannot normally breathe the clean" air of this world."	1	Disparation
Principles	Principle of the Undead	When your Hero character is incapacitated, do not remove your cards from the game.  START PHASE: Your Hero character deals themself 8 fixed infernal damage.  END PHASE: If your Hero is incapacitated, flip their character card(s) and set their HP to maximum.	You are no stranger to the chill of death. Long ago, you became something… less alive. Since then, you have found your way as something both less and more than the person you used to be.	1	Disparation
Principles	Principle of Whispers	REACTION: Reveal the top card of your deck. Discard it or play it. If you played a card this way, your Hero character deals themself 2 fixed psychic damage.  END PHASE: Reveal the top card of your deck. Bury it or replace it. If you replaced it, your Hero character deals themself 1 fixed psychic damage.	There's a voice inside your head, telling you things that you have no way of knowing. Who is this voice? What do they want? And how do they know these things?	1	Disparation
Principles	Principle of the Wild Card	When you would play a non-***Suddenly!*** card from your hand, instead bury 1 card from your hand and play the top card of your deck.  PLAY PHASE: You may draw 2 cards. If you do, put 2 cards from your hand on top of your deck, then shuffle the top 4 cards of your deck. Either way, play the top card of your deck.	Who knows what you might do next? You're brash, unpredictable, and though you claim that you're a whole lot of fun… many find you more annoying than fun, and certainly not reliable.	1	Disparation
Principles	Principle of the Zealot	+1 damage dealt to and by your Hero character. REACTION: Your Hero character deals the attacker 2 melee damage. The attacker deals your Hero character 1 melee damage.	You believe strongly in something that governs your actions and provides you with focus and determination.	1	Disparation